,date,demand,emissions,registered EVs
0,20221127T23Z,23637,6655,test
1,20221127T22Z,23599,7323,test
2,20221127T21Z,23323,7393,test
3,20221127T20Z,23718,7321,test
4,20221127T19Z,25038,7519,test
5,20221127T18Z,25331,7665,test
6,20221127T17Z,25362,7224,test
7,20221127T16Z,25404,6276,test
8,20221127T15Z,24703,3586,test
9,20221127T14Z,23990,3090,test
10,20221127T13Z,23568,3021,test
11,20221127T12Z,23512,2885,test
12,20221127T11Z,23950,2745,test
13,20221127T10Z,24615,3370,test
14,20221127T09Z,25550,3710,test
15,20221127T08Z,26799,4878,test
16,20221127T07Z,28003,6410,test
17,20221127T06Z,28612,6570,test
18,20221127T05Z,28997,6486,test
19,20221127T04Z,29363,6509,test
20,20221127T03Z,29454,6533,test
21,20221127T02Z,27572,6368,test
22,20221127T01Z,25298,6431,test
23,20221127T00Z,23429,6745,test
24,20221126T23Z,23082,6971,test
25,20221126T22Z,22876,7415,test
26,20221126T21Z,23264,7418,test
27,20221126T20Z,24271,7661,test
28,20221126T19Z,25283,7325,test
29,20221126T18Z,26096,7357,test
30,20221126T17Z,26171,6582,test
31,20221126T16Z,25478,5481,test
32,20221126T15Z,24525,2498,test
33,20221126T14Z,23743,1957,test
34,20221126T13Z,23687,1649,test
35,20221126T12Z,23651,1921,test
36,20221126T11Z,24117,2490,test
37,20221126T10Z,24786,2946,test
38,20221126T09Z,25659,3484,test
39,20221126T08Z,26594,5790,test
40,20221126T07Z,27676,6491,test
41,20221126T06Z,28341,6762,test
42,20221126T05Z,28925,6517,test
43,20221126T04Z,29468,6500,test
44,20221126T03Z,30101,6426,test
45,20221126T02Z,28522,6525,test
46,20221126T01Z,26380,6806,test
47,20221126T00Z,25474,7033,test
48,20221125T23Z,24587,7218,test
49,20221125T22Z,24160,7155,test
50,20221125T21Z,24306,7174,test
51,20221125T20Z,24752,7220,test
52,20221125T19Z,25562,7426,test
53,20221125T18Z,26048,8061,test
54,20221125T17Z,26263,7679,test
55,20221125T16Z,25904,6240,test
56,20221125T15Z,25068,4227,test
57,20221125T14Z,24070,3505,test
58,20221125T13Z,23660,3164,test
59,20221125T12Z,23847,3335,test
60,20221125T11Z,23967,3313,test
61,20221125T10Z,24158,3273,test
62,20221125T09Z,24754,3494,test
63,20221125T08Z,25623,5066,test
64,20221125T07Z,26182,6551,test
65,20221125T06Z,26404,6908,test
66,20221125T05Z,26654,6899,test
67,20221125T04Z,27131,6838,test
68,20221125T03Z,27937,6960,test
69,20221125T02Z,27053,6991,test
70,20221125T01Z,25571,6928,test
71,20221125T00Z,24327,7050,test
72,20221124T23Z,23995,7157,test
73,20221124T22Z,23689,7319,test
74,20221124T21Z,23884,6966,test
75,20221124T20Z,24408,7166,test
76,20221124T19Z,25370,7136,test
77,20221124T18Z,25570,7310,test
78,20221124T17Z,25923,6335,test
79,20221124T16Z,25971,5437,test
80,20221124T15Z,25180,3091,test
81,20221124T14Z,24519,2647,test
82,20221124T13Z,24383,2250,test
83,20221124T12Z,24620,2396,test
84,20221124T11Z,25071,2572,test
85,20221124T10Z,25940,2875,test
86,20221124T09Z,27020,3222,test
87,20221124T08Z,28435,4861,test
88,20221124T07Z,29636,6936,test
89,20221124T06Z,30648,6935,test
90,20221124T05Z,31437,7044,test
91,20221124T04Z,32074,7126,test
92,20221124T03Z,32403,7255,test
93,20221124T02Z,30981,7293,test
94,20221124T01Z,28906,7365,test
95,20221124T00Z,27337,7811,test
96,20221123T23Z,27107,8147,test
97,20221123T22Z,26854,8340,test
98,20221123T21Z,27299,8293,test
99,20221123T20Z,28139,8251,test
100,20221123T19Z,29128,8290,test
101,20221123T18Z,29954,8355,test
102,20221123T17Z,30188,7868,test
103,20221123T16Z,29987,6822,test
104,20221123T15Z,28025,4412,test
105,20221123T14Z,26322,4161,test
106,20221123T13Z,25643,4521,test
107,20221123T12Z,25620,4759,test
108,20221123T11Z,26081,4217,test
109,20221123T10Z,26956,4587,test
110,20221123T09Z,28066,5022,test
111,20221123T08Z,29302,6486,test
112,20221123T07Z,30824,8196,test
113,20221123T06Z,31627,7965,test
114,20221123T05Z,32293,7854,test
115,20221123T04Z,32896,7754,test
116,20221123T03Z,33178,7929,test
117,20221123T02Z,31663,8163,test
118,20221123T01Z,29568,8176,test
119,20221123T00Z,28101,8505,test
120,20221122T23Z,27156,8513,test
121,20221122T22Z,26972,9001,test
122,20221122T21Z,27220,9000,test
123,20221122T20Z,27545,8891,test
124,20221122T19Z,29278,9027,test
125,20221122T18Z,30845,8985,test
126,20221122T17Z,30949,8602,test
127,20221122T16Z,30673,7355,test
128,20221122T15Z,28797,5014,test
129,20221122T14Z,27126,4306,test
130,20221122T13Z,26516,3845,test
131,20221122T12Z,26365,4614,test
132,20221122T11Z,26620,4780,test
133,20221122T10Z,27179,4722,test
134,20221122T09Z,27853,6257,test
135,20221122T08Z,29324,7042,test
136,20221122T07Z,30995,8440,test
137,20221122T06Z,32109,8182,test
138,20221122T05Z,32869,8073,test
139,20221122T04Z,33521,8303,test
140,20221122T03Z,33708,8191,test
141,20221122T02Z,32019,8248,test
142,20221122T01Z,30000,8217,test
143,20221122T00Z,29073,8145,test
144,20221121T23Z,28461,8663,test
145,20221121T22Z,28284,9113,test
146,20221121T21Z,28068,9217,test
147,20221121T20Z,28303,9436,test
148,20221121T19Z,29343,9738,test
149,20221121T18Z,30457,9645,test
150,20221121T17Z,30513,9068,test
151,20221121T16Z,30052,7601,test
152,20221121T15Z,28189,6554,test
153,20221121T14Z,26459,5594,test
154,20221121T13Z,25511,4827,test
155,20221121T12Z,25196,5112,test
156,20221121T11Z,25322,4660,test
157,20221121T10Z,25838,4810,test
158,20221121T09Z,26389,5299,test
159,20221121T08Z,27610,6577,test
160,20221121T07Z,29013,7937,test
161,20221121T06Z,29825,7774,test
162,20221121T05Z,30327,7771,test
163,20221121T04Z,30722,7689,test
164,20221121T03Z,30765,7637,test
165,20221121T02Z,28956,7452,test
166,20221121T01Z,26571,7479,test
167,20221121T00Z,24792,7856,test
168,20221120T23Z,24218,8230,test
169,20221120T22Z,24162,8882,test
170,20221120T21Z,24342,9333,test
171,20221120T20Z,24805,9267,test
172,20221120T19Z,25592,9129,test
173,20221120T18Z,26407,8943,test
174,20221120T17Z,26720,8211,test
175,20221120T16Z,26492,6578,test
176,20221120T15Z,25724,3931,test
177,20221120T14Z,25097,3518,test
178,20221120T13Z,25024,3309,test
179,20221120T12Z,24837,3662,test
180,20221120T11Z,25219,3304,test
181,20221120T10Z,25840,3818,test
182,20221120T09Z,26568,3661,test
183,20221120T08Z,27716,5608,test
184,20221120T07Z,28892,7506,test
185,20221120T06Z,29598,7567,test
186,20221120T05Z,30124,7585,test
187,20221120T04Z,30599,7718,test
188,20221120T03Z,30833,7565,test
189,20221120T02Z,29031,7264,test
