date,demand
20221127T23Z,23637
20221127T22Z,23599
20221127T21Z,23323
20221127T20Z,23718
20221127T19Z,25038
20221127T18Z,25331
20221127T17Z,25362
20221127T16Z,25404
20221127T15Z,24703
20221127T14Z,23990
20221127T13Z,23568
20221127T12Z,23512
20221127T11Z,23950
20221127T10Z,24615
20221127T09Z,25550
20221127T08Z,26799
20221127T07Z,28003
20221127T06Z,28612
20221127T05Z,28997
20221127T04Z,29363
20221127T03Z,29454
20221127T02Z,27572
20221127T01Z,25298
20221127T00Z,23429
20221126T23Z,23082
20221126T22Z,22876
20221126T21Z,23264
20221126T20Z,24271
20221126T19Z,25283
20221126T18Z,26096
20221126T17Z,26171
20221126T16Z,25478
20221126T15Z,24525
20221126T14Z,23743
20221126T13Z,23687
20221126T12Z,23651
20221126T11Z,24117
20221126T10Z,24786
20221126T09Z,25659
20221126T08Z,26594
20221126T07Z,27676
20221126T06Z,28341
20221126T05Z,28925
20221126T04Z,29468
20221126T03Z,30101
20221126T02Z,28522
20221126T01Z,26380
20221126T00Z,25474
20221125T23Z,24587
20221125T22Z,24160
20221125T21Z,24306
20221125T20Z,24752
20221125T19Z,25562
20221125T18Z,26048
20221125T17Z,26263
20221125T16Z,25904
20221125T15Z,25068
20221125T14Z,24070
20221125T13Z,23660
20221125T12Z,23847
20221125T11Z,23967
20221125T10Z,24158
20221125T09Z,24754
20221125T08Z,25623
20221125T07Z,26182
20221125T06Z,26404
20221125T05Z,26654
20221125T04Z,27131
20221125T03Z,27937
20221125T02Z,27053
20221125T01Z,25571
20221125T00Z,24327
20221124T23Z,23995
20221124T22Z,23689
20221124T21Z,23884
20221124T20Z,24408
20221124T19Z,25370
20221124T18Z,25570
20221124T17Z,25923
20221124T16Z,25971
20221124T15Z,25180
20221124T14Z,24519
20221124T13Z,24383
20221124T12Z,24620
20221124T11Z,25071
20221124T10Z,25940
20221124T09Z,27020
20221124T08Z,28435
20221124T07Z,29636
20221124T06Z,30648
20221124T05Z,31437
20221124T04Z,32074
20221124T03Z,32403
20221124T02Z,30981
20221124T01Z,28906
20221124T00Z,27337
20221123T23Z,27107
20221123T22Z,26854
20221123T21Z,27299
20221123T20Z,28139
20221123T19Z,29128
20221123T18Z,29954
20221123T17Z,30188
20221123T16Z,29987
20221123T15Z,28025
20221123T14Z,26322
20221123T13Z,25643
20221123T12Z,25620
20221123T11Z,26081
20221123T10Z,26956
20221123T09Z,28066
20221123T08Z,29302
20221123T07Z,30824
20221123T06Z,31627
20221123T05Z,32293
20221123T04Z,32896
20221123T03Z,33178
20221123T02Z,31663
20221123T01Z,29568
20221123T00Z,28101
20221122T23Z,27156
20221122T22Z,26972
20221122T21Z,27220
20221122T20Z,27545
20221122T19Z,29278
20221122T18Z,30845
20221122T17Z,30949
20221122T16Z,30673
20221122T15Z,28797
20221122T14Z,27126
20221122T13Z,26516
20221122T12Z,26365
20221122T11Z,26620
20221122T10Z,27179
20221122T09Z,27853
