,date,coal,date1,natural gas,date2,nuclear,date3,hydroelectric,date4,wind,total,demand
0,202209,24.98724,202209,10736.90153,202209,1611.663,202209,1732.27996,202209,887.64266,14993474.39,14993474.389999999
1,202208,19.65788,202208,11568.06973,202208,1679.4,202208,1756.688,202208,1083.22678,16107042.39,16107042.389999999
2,202207,22.38795,202207,9504.45244,202207,1684.102,202207,1856.69645,202207,1443.68919,14511328.03,14511328.030000001
3,202206,19.56353,202206,7134.7868,202206,1633.288,202206,1816.49729,202206,1460.87295,12065008.569999998,12065008.569999998
4,202205,15.52536,202205,5208.03935,202205,1692.998,202205,1835.48466,202205,1814.01024,10566057.61,10566057.61
5,202204,9.54906,202204,5736.31324,202204,864.541,202204,1689.63466,202204,1725.24187,10025279.830000002,10025279.830000002
6,202203,23.38715,202203,5534.38765,202203,1466.126,202203,1569.0767,202203,1493.11357,10086091.069999998,10086091.069999998
7,202202,19.6481,202202,5886.97385,202202,1481.389,202202,1112.57445,202202,1125.09078,9625676.18,9625676.18
8,202201,20.15709,202201,7095.1756,202201,1656.36,202201,1024.93053,202201,1121.50848,10918131.7,10918131.7
9,202112,22.17763,202112,8167.91101,202112,1683.623,202112,871.06434,202112,744.82284,11489598.82,11489598.82
10,202111,22.57091,202111,7894.24045,202111,1445.614,202111,828.37316,202111,541.16276,10731961.28,10731961.28
11,202110,25.99766,202110,8705.08134,202110,1197.61,202110,1218.73178,202110,914.96291,12062383.690000003,12062383.690000003
12,202109,25.26136,202109,9185.50751,202109,1626.712,202109,1485.85289,202109,1214.25563,13537589.39,13537589.389999999
13,202108,25.0918,202108,10876.98242,202108,1681.49,202108,1646.38642,202108,1524.63405,15754584.69,15754584.690000001
14,202107,25.58952,202107,12033.81469,202107,1683.581,202107,1848.93195,202107,1443.86674,17035783.9,17035783.9
15,202106,26.10412,202106,8614.00178,202106,1633.953,202106,1549.66859,202106,1759.52122,13583248.71,13583248.709999999
16,202105,24.7684,202105,6185.5857,202105,1674.327,202105,1409.89095,202105,2030.46346,11325035.509999998,11325035.509999998
17,202104,25.85271,202104,5990.05085,202104,922.229,202104,1255.15103,202104,1829.30351,10022587.1,10022587.1
18,202103,28.08662,202103,6495.41756,202103,841.163,202103,1012.25957,202103,1328.6904,9705617.15,9705617.15
19,202102,25.24323,202102,6122.09704,202102,799.811,202102,812.1564,202102,1096.62009,8855927.759999998,8855927.759999998
20,202101,17.40984,202101,7156.40128,202101,1287.253,202101,739.11306,202101,748.7028,9948879.980000002,9948879.980000002
21,202012,28.07993,202012,8803.51963,202012,856.606,202012,871.77014,202012,652.43471,11212410.41,11212410.41
22,202011,27.44439,202011,7954.69933,202011,784.013,202011,1065.96355,202011,664.19221,10496312.48,10496312.48
23,202010,24.6802,202010,10137.3972,202010,438.597,202010,1413.05536,202010,868.36309,12882092.85,12882092.850000001
24,202009,22.10197,202009,9683.11519,202009,1599.991,202009,1738.18311,202009,797.28221,13840673.48,13840673.479999999
25,202008,24.31064,202008,11305.75384,202008,1597.801,202008,2602.76019,202008,1440.22287,16970848.54,16970848.54
