,date,emissions,demand,Natural gas,Large hydro,Imports,Batteries,Nuclear,Coal,Other,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,total generated
00:00,20221112,8079,22291.0,14108,1075,4101,131,1130,2,0,4,535,949,241,213,111,22600
00:05,20221112,7997,22389.0,14092,951,3889,643,1130,2,0,4,533,949,242,213,111,22759
00:10,20221112,7915,22412.0,14040,912,3715,840,1130,2,0,4,517,949,242,213,113,22677
00:15,20221112,7874,22358.0,14157,933,3641,826,1130,3,0,4,507,949,242,213,115,22720
00:20,20221112,7876,22316.0,14057,874,3668,834,1130,3,0,4,506,949,240,213,118,22596
00:25,20221112,7852,22244.0,14108,841,3649,822,1130,3,0,5,494,948,240,213,118,22571
00:30,20221112,7878,22150.0,14112,846,3682,749,1130,2,0,4,484,947,237,214,118,22525
00:35,20221112,7870,22087.0,14086,826,3584,807,1130,2,0,4,487,948,238,214,118,22444
00:40,20221112,7826,22026.0,14077,816,3577,766,1130,2,0,3,500,946,239,213,118,22387
00:45,20221112,7828,21973.0,14100,814,3582,690,1130,2,0,2,518,947,239,214,117,22355
00:50,20221112,7839,21904.0,14110,813,3701,508,1130,2,0,3,534,947,237,214,117,22316
00:55,20221112,7901,21827.0,14102,809,3740,398,1130,2,0,3,548,947,238,214,116,22247
01:00,20221112,7902,21739.0,14091,812,3663,362,1130,2,0,6,576,948,239,214,115,22158
01:05,20221112,7904,21697.0,14282,862,3736,196,1129,2,0,5,592,948,240,214,115,22321
01:10,20221112,7984,21649.0,14222,892,3715,182,1129,3,0,3,604,949,238,214,114,22265
01:15,20221112,7921,21589.0,14085,907,3655,189,1129,3,0,3,607,947,238,214,115,22092
01:20,20221112,7861,21520.0,13967,894,3636,226,1129,3,0,4,603,948,239,214,116,21979
01:25,20221112,7794,21482.0,13896,890,3645,230,1130,3,0,3,593,947,239,214,117,21907
01:30,20221112,7780,21414.0,13856,892,3672,166,1129,3,0,3,591,948,239,214,118,21831
01:35,20221112,7761,21366.0,13845,889,3576,211,1129,3,0,4,577,947,239,213,118,21751
01:40,20221112,7717,21285.0,13896,891,3544,189,1129,3,0,4,568,947,239,214,118,21742
01:45,20221112,7722,21246.0,13852,886,3431,309,1129,3,0,4,552,947,237,214,117,21681
01:50,20221112,7650,21180.0,13852,887,3337,348,1129,3,0,3,538,946,239,213,115,21610
01:55,20221112,7622,21127.0,13783,887,3305,366,1128,3,0,4,536,947,240,214,115,21528
02:00,20221112,7565,21088.0,13775,886,3279,394,1128,3,0,3,532,947,240,214,116,21517
02:05,20221112,7560,21048.0,13645,820,3263,480,1128,3,0,3,526,947,240,214,116,21385
02:10,20221112,7488,21047.0,13551,779,3273,586,1128,3,0,4,541,945,241,214,119,21384
02:15,20221112,7452,21007.0,13451,784,3203,716,1129,3,0,3,554,947,241,214,119,21364
02:20,20221112,7388,20985.0,13354,771,3270,712,1129,3,0,3,558,947,240,214,119,21320
02:25,20221112,7380,20929.0,13324,766,3265,703,1129,3,0,2,570,947,239,214,119,21281
02:30,20221112,7366,20903.0,13330,767,3231,694,1128,3,0,2,588,947,239,214,120,21263
02:35,20221112,7349,20833.0,13324,763,3163,689,1128,2,0,3,605,947,239,214,118,21195
02:40,20221112,7321,20816.0,13377,751,3179,630,1129,2,0,2,618,947,240,214,116,21205
02:45,20221112,7365,20764.0,13407,747,3216,560,1129,2,0,2,616,947,241,214,115,21196
02:50,20221112,7381,20763.0,13388,702,3269,539,1129,2,0,3,636,948,243,214,115,21188
02:55,20221112,7405,20697.0,13432,684,3261,466,1129,3,0,3,674,949,243,214,115,21173
03:00,20221112,7418,20671.0,13553,503,3422,434,1130,3,0,3,710,949,244,214,116,21281
03:05,20221112,7561,20679.0,13838,396,3436,504,1129,2,0,2,734,949,245,213,117,21565
03:10,20221112,7694,20693.0,13776,415,3386,533,1129,2,0,3,764,948,245,214,116,21531
03:15,20221112,7591,20661.0,13747,422,3181,663,1129,2,0,3,785,949,246,213,116,21456
03:20,20221112,7510,20638.0,13738,421,3137,671,1129,2,0,3,807,949,246,214,116,21433
03:25,20221112,7495,20638.0,13742,417,3142,658,1129,2,0,2,820,949,245,213,116,21435
03:30,20221112,7503,20630.0,13730,369,3141,696,1129,2,0,2,826,949,248,213,116,21421
03:35,20221112,7498,20597.0,13765,397,3130,646,1130,3,0,3,828,948,247,213,116,21426
03:40,20221112,7507,20592.0,13736,415,3193,565,1129,2,0,3,850,949,247,213,116,21418
03:45,20221112,7520,20596.0,13733,366,3241,524,1129,2,0,3,876,949,247,213,116,21399
03:50,20221112,7548,20590.0,13813,347,3243,511,1129,2,0,2,890,948,246,213,116,21460
03:55,20221112,7569,20572.0,13800,352,3242,478,1129,3,0,3,891,950,246,213,116,21423
04:00,20221112,7571,20595.0,13766,352,3375,394,1129,3,0,3,888,950,246,213,116,21435
04:05,20221112,7626,20653.0,13794,404,3464,328,1129,3,0,3,872,950,248,213,116,21524
04:10,20221112,7664,20673.0,13734,401,3563,286,1129,3,0,2,848,950,249,213,116,21494
04:15,20221112,7699,20717.0,13747,425,3661,237,1128,3,0,3,826,949,249,214,116,21558
04:20,20221112,7724,20732.0,13731,443,3559,356,1129,4,0,4,828,949,248,214,116,21581
04:25,20221112,7674,20729.0,13685,399,3600,383,1129,4,0,2,826,950,248,214,115,21555
04:30,20221112,7679,20746.0,13758,377,3588,408,1129,4,0,2,817,949,248,214,114,21608
04:35,20221112,7709,20771.0,13799,376,3608,436,1129,4,0,2,803,950,248,214,114,21683
04:40,20221112,7729,20791.0,13761,379,3530,535,1129,5,0,2,798,951,247,214,114,21665
04:45,20221112,7677,20787.0,13782,378,3532,504,1129,5,0,0,798,950,249,214,114,21655
04:50,20221112,7695,20840.0,13789,377,3664,413,1128,5,0,1,793,950,250,214,114,21698
04:55,20221112,7757,20856.0,13813,412,3708,345,1129,5,0,1,793,950,249,214,115,21734
05:00,20221112,7778,20873.0,13823,464,3732,267,1129,5,0,2,786,950,250,214,117,21739
05:05,20221112,7790,20882.0,13916,589,3748,117,1129,4,0,2,799,950,247,214,123,21838
05:10,20221112,7866,20915.0,13939,693,3781,49,1128,4,0,2,819,951,246,214,132,21958
05:15,20221112,7864,20971.0,13922,716,3817,49,1129,4,0,2,841,950,246,214,132,22022
05:20,20221112,7871,21033.0,13976,740,3782,62,1128,4,0,2,854,950,245,214,132,22089
05:25,20221112,7902,21088.0,13998,744,3834,36,1129,5,0,2,866,949,244,214,132,22153
05:30,20221112,7944,21116.0,14022,737,3842,40,1129,4,0,1,904,948,245,214,132,22218
05:35,20221112,7945,21198.0,14129,748,3772,64,1128,4,0,1,946,950,245,214,132,22333
05:40,20221112,7982,21251.0,14137,746,3702,139,1129,4,0,2,981,950,244,214,132,22380
05:45,20221112,7946,21290.0,14117,749,3645,207,1128,4,0,1,1001,950,245,213,132,22392
05:50,20221112,7907,21324.0,14035,757,3595,265,1129,5,0,0,1006,951,245,213,132,22333
05:55,20221112,7855,21416.0,14006,750,3661,270,1128,4,0,1,1018,950,244,214,132,22378
06:00,20221112,7879,21513.0,14011,751,3762,262,1128,4,0,2,1053,950,245,214,131,22513
06:05,20221112,7915,21707.0,14025,753,3738,456,1129,4,0,3,1069,951,246,214,130,22718
06:10,20221112,7915,21804.0,14065,769,3720,495,1128,4,0,10,1075,950,246,214,128,22804
06:15,20221112,7928,21865.0,14039,761,3753,541,1128,4,0,30,1066,951,247,214,129,22863
06:20,20221112,7919,21912.0,14036,756,3684,634,1128,4,0,67,1057,951,249,214,128,22908
06:25,20221112,7905,21949.0,14080,753,3727,541,1128,4,0,159,1035,950,249,213,128,22967
06:30,20221112,7940,21941.0,14094,749,3708,457,1129,3,0,280,1027,950,248,214,127,22986
06:35,20221112,7923,21976.0,14056,752,3639,448,1128,3,0,447,1009,950,249,213,127,23021
06:40,20221112,7872,22017.0,14049,751,3478,431,1128,3,0,676,987,949,250,212,127,23041
06:45,20221112,7820,21976.0,14170,740,3453,194,1128,3,0,975,989,949,249,212,128,23190
06:50,20221112,7860,21955.0,14080,730,3323,148,1128,3,0,1293,978,950,249,213,127,23222
06:55,20221112,7714,21958.0,13884,741,3226,92,1128,3,0,1713,950,950,247,213,127,23274
07:00,20221112,7517,21941.0,13783,705,2912,69,1128,3,0,2175,914,950,247,213,127,23226
07:05,20221112,7276,21971.0,13422,830,2390,99,1128,3,0,2631,903,952,248,212,127,22945
07:10,20221112,6934,21988.0,13115,822,1973,94,1127,3,0,3172,913,950,248,212,128,22757
07:15,20221112,6650,21998.0,12877,754,1722,111,1128,4,0,3708,926,951,248,212,130,22771
07:20,20221112,6433,21961.0,12570,699,1505,131,1128,4,0,4242,942,951,246,213,131,22762
07:25,20221112,6190,21898.0,12011,698,1538,108,1128,4,0,4784,941,951,246,212,131,22752
07:30,20221112,6000,21857.0,11482,694,1585,70,1128,4,0,5313,952,952,247,212,132,22771
07:35,20221112,5813,21815.0,10797,712,1560,124,1129,4,0,5857,965,951,246,212,132,22689
07:40,20221112,5539,21638.0,10154,720,1441,150,1128,4,0,6397,963,950,247,212,132,22498
07:45,20221112,5349,21568.0,10091,717,1390,-128,1129,4,0,6975,967,951,247,212,133,22688
07:50,20221112,5378,21506.0,9959,716,1390,-335,1129,4,0,7549,969,950,247,212,133,22923
07:55,20221112,5305,21475.0,9426,714,1328,-343,1130,3,0,8220,971,951,247,212,133,22992
08:00,20221112,5012,21343.0,9179,675,1218,-530,1129,3,0,8786,954,951,245,212,133,22955
08:05,20221112,4926,21334.0,9007,564,1523,-635,1129,2,0,9299,948,950,247,212,129,23375
08:10,20221112,5035,21315.0,8805,539,1754,-783,1129,3,0,9701,954,951,248,214,113,23628
08:15,20221112,4909,21180.0,8354,558,1451,-589,1130,4,0,10030,952,950,247,212,113,23412
08:20,20221112,4596,21073.0,7845,552,1322,-426,1130,4,0,10248,919,950,248,212,114,23118
08:25,20221112,4393,20951.0,7621,540,1430,-586,1129,4,0,10486,905,950,248,212,113,23052
08:30,20221112,4346,20793.0,7748,540,1524,-848,1129,4,0,10627,909,950,246,212,113,23154
08:35,20221112,4424,20696.0,7159,538,1356,-618,1130,5,0,10790,911,950,247,212,113,22793
08:40,20221112,4037,20555.0,6737,531,1215,-499,1130,5,0,10888,911,950,246,212,113,22439
08:45,20221112,3826,20404.0,6809,534,1221,-675,1130,5,0,11035,914,950,248,212,114,22497
08:50,20221112,3895,20259.0,6930,532,1109,-827,1130,4,0,11163,942,951,247,213,115,22509
