,emissions
201401,5615497.82
201402,5022762.297
201403,5289480.524
201404,4812433.46
201405,5331965.63
201406,5451151.875
201407,6904019.904
201408,6760966.43
201409,6619994.447
201410,6314691.774
201411,5162069.02
201412,5495698.799
201501,5505917.487
201502,4527679.374
201503,5087623.957
201504,4685880.093
201505,4581901.769
201506,5675018.244
201507,6286634.53
201508,6628457.346
201509,6600688.58
201510,6358856.435
201511,5001007.945
201512,5302112.891
201601,5309957.44
201602,4382418.45
201603,3873036.468
201604,3656890.54
201605,4173713.178
201606,5008429.87
201607,5777168.729
201608,6122590.016
201609,5384004.614
201610,5053077.597
201611,4467497.488
201612,4750331.095
201701,4586131.33
201702,3731887.33
201703,3291517.37
201704,2987841.35
201705,3565602.35
201706,4336090.74
201707,5380078.86
201708,5771255.43
201709,5072859.61
201710,4915773.24
201711,4480645.25
201712,4737213.47
201801,4571610.2
201802,4074815.78
201803,4156882.33
201804,2925520.3
201805,3076643.0
201806,3745210.4
201807,6181561.9
201808,5990650.2
201809,4860121.28
201810,4836610.48
201811,4666205.54
201812,4852195.35
201901,4546765.2
201902,3902559.1
201903,3397034.61
201904,2735007.7
201905,2635827.81
201906,3496126.65
201907,4750070.24
201908,5478363.76
201909,5237808.27
201910,4794056.51
201911,4990605.88
201912,5085669.79
202001,4148394.0
202002,3692344.0
202003,3635260.0
202004,2569253.0
202005,2765040.48
202006,3449049.61
202007,4372762.9
202008,5568279.0
202009,5383299.0
202010,5384925.0
202011,4112936.0
202012,4544695.89
202101,4624732.39
202102,3582495.93
202103,3745694.18
202104,3177157.5
202105,3284996.4
202106,4379060.55
202107,5829708.84
202108,5607233.68
202109,5070292.57
202110,4577134.35
202111,4365100.13
202112,4959996.71
202201,4339494.42
202202,3513663.33
202203,3490823.36
