,year,county code,January,February,March,April,May,June,July,August,September,October,November,December
0,2015,001,0.01,2.25,0.26,1.15,0.37,0.27,0.01,0.02,0.04,0.08,2.41,3.52
0,2016,001,5.65,0.84,5.25,1.94,0.24,0.0,0.0,0.0,0.0,3.65,1.48,3.5
0,2017,001,9.38,7.41,2.65,2.5,0.03,0.04,0.0,0.01,0.06,0.21,2.58,0.1
0,2018,001,4.28,0.57,4.39,2.44,0.02,0.0,0.0,0.0,0.0,0.14,2.71,2.02
0,2019,001,3.73,6.83,4.11,0.47,2.25,0.0,0.0,0.0,0.19,0.0,1.09,3.62
0,2020,001,1.55,0.0,2.61,1.54,0.62,0.0,0.0,0.07,0.0,0.0,0.37,1.66
0,2021,001,3.15,0.97,1.36,0.1,0.01,0.0,0.0,0.0,0.02,5.04,0.85,6.46
0,2022,001,0.17,0.05,0.68,1.35,0.01,0.07,0.0,0.0,0.59,0.0,2.07,-9.99
0,2015,003,0.22,5.53,0.62,2.52,2.99,1.0,1.81,0.23,0.39,2.4,4.68,7.97
0,2016,003,8.29,1.82,6.74,3.1,1.67,0.05,0.01,0.12,0.32,8.87,1.93,6.71
0,2017,003,22.13,15.58,4.79,6.95,1.44,0.7,0.04,1.34,2.39,0.57,7.7,0.61
0,2018,003,3.65,1.56,12.57,3.18,1.68,0.02,0.7,0.11,0.1,0.76,5.16,2.71
0,2019,003,8.17,15.25,6.43,1.74,3.12,0.55,0.55,0.03,0.87,0.08,2.61,7.81
0,2020,003,1.86,0.25,5.28,3.12,1.43,0.66,0.57,0.6,0.22,0.04,3.42,2.98
0,2021,003,6.12,2.2,2.98,0.9,0.99,0.65,1.01,0.25,0.21,8.35,1.27,12.72
0,2022,003,0.13,0.64,1.46,3.24,0.65,0.58,0.08,1.33,1.5,0.17,4.27,-9.99
0,2015,005,0.14,5.36,0.83,3.09,1.39,0.27,0.18,0.02,0.07,1.89,5.26,8.16
0,2016,005,9.96,1.61,7.88,3.38,0.87,0.01,0.0,0.02,0.05,7.44,3.49,6.3
0,2017,005,18.68,16.23,4.71,5.82,0.74,0.69,0.0,0.14,0.41,0.53,7.35,0.64
0,2018,005,5.62,1.0,12.02,4.16,0.87,0.01,0.04,0.02,0.01,0.6,6.51,3.18
0,2019,005,8.17,14.48,7.18,2.14,5.69,0.08,0.03,0.0,1.13,0.03,2.08,7.64
0,2020,005,2.4,0.06,7.1,3.43,2.24,0.15,0.03,0.04,0.05,0.01,2.04,2.77
