,date,county 1 precip,county 3 precip,county 5 precip,county 7 precip,county 9 precip,county 11 precip,county 13 precip,county 15 precip,county 17 precip,county 19 precip,county 21 precip,county 23 precip,county 25 precip,county 27 precip,county 29 precip,county 31 precip,county 33 precip,county 35 precip,county 37 precip,county 39 precip,county 41 precip,county 43 precip,county 45 precip,county 47 precip,county 49 precip,county 51 precip,county 53 precip,county 55 precip,county 57 precip,county 59 precip,county 61 precip,county 63 precip,county 65 precip,county 67 precip,county 69 precip,county 71 precip,county 73 precip,county 75 precip,county 77 precip,county 79 precip,county 81 precip,county 83 precip,county 85 precip,county 87 precip,county 89 precip,county 91 precip,county 93 precip,county 95 precip,county 97 precip,county 99 precip,county 101 precip,county 103 precip,county 105 precip,county 107 precip,county 109 precip,county 111 precip,county 113 precip,county 115 precip,mean precip,date_idx
0,201501,0.01,0.22,0.14,0.21,0.13,0.18,0.01,3.49,0.12,0.19,0.11,2.13,0.36,0.64,0.81,0.17,0.46,0.13,1.39,0.16,0.05,0.13,1.04,0.02,0.39,0.18,0.1,0.06,0.11,0.84,0.12,0.15,0.75,0.02,0.04,1.01,0.6,0.0,0.01,0.35,0.01,0.95,0.01,0.0,0.67,0.11,1.67,0.02,0.19,0.02,0.1,0.25,1.79,0.47,0.14,1.97,0.06,0.08,0.440344827586207,1
1,201502,2.25,5.53,5.36,4.58,5.26,3.66,2.34,11.17,6.96,1.89,3.84,10.79,0.05,0.48,0.86,0.72,6.44,2.57,0.78,1.82,3.53,2.46,7.23,1.2,1.66,1.5,2.19,4.33,6.73,0.58,6.73,5.64,0.37,2.59,1.54,0.52,0.75,2.11,1.68,1.87,3.26,0.7,2.87,3.65,6.57,6.91,7.72,2.54,5.47,1.96,2.49,4.29,11.74,2.29,5.12,0.88,3.2,4.42,3.597241379310344,2
2,201503,0.26,0.62,0.83,0.58,0.64,0.54,0.26,5.65,0.87,0.28,0.21,3.68,0.63,0.23,0.31,0.25,0.55,0.57,0.64,0.25,0.26,0.38,1.28,0.21,1.06,0.28,0.29,0.19,0.9,0.65,0.75,0.83,0.92,0.25,0.33,0.5,1.18,0.13,0.25,0.19,0.26,0.31,0.4,0.52,1.5,0.88,2.5,0.17,0.28,0.23,0.17,1.04,2.53,0.43,0.68,0.69,0.17,0.48,0.7227586206896551,3
3,201504,1.15,2.52,3.09,2.24,2.64,1.78,1.09,4.36,3.41,1.01,1.7,3.29,0.02,0.06,0.21,0.48,2.52,0.91,0.23,1.69,1.88,2.11,3.08,0.66,0.77,0.77,1.24,1.63,3.29,0.22,3.23,1.86,0.2,1.94,0.95,0.19,0.31,1.54,1.04,0.72,1.51,0.37,1.28,1.85,1.64,2.6,1.15,1.18,2.07,0.77,1.52,1.76,2.03,0.87,3.29,0.32,1.31,2.75,1.5568965517241375,4
4,201505,0.37,2.99,1.39,0.29,1.18,0.08,0.2,0.68,1.96,1.02,0.25,0.38,0.32,0.73,0.5,0.28,0.21,2.72,0.72,0.91,0.12,1.26,0.27,0.34,2.72,2.97,0.39,0.15,1.46,1.01,1.93,1.89,0.58,0.17,0.68,0.23,1.39,0.11,0.15,0.18,0.28,0.33,0.57,0.29,1.5,2.09,2.09,0.09,0.18,0.23,0.03,0.61,1.23,1.76,2.7,0.61,0.1,0.17,0.8627586206896551,5
5,201506,0.27,1.0,0.27,0.22,0.2,0.02,0.27,0.45,0.85,0.18,0.07,0.17,0.06,0.1,0.05,0.03,0.08,0.74,0.04,0.14,0.27,0.23,0.07,0.0,0.54,0.88,0.05,0.11,0.63,0.02,0.77,0.65,0.05,0.1,0.02,0.06,0.09,0.23,0.1,0.07,0.19,0.21,0.07,0.06,0.57,0.76,0.52,0.15,0.18,0.02,0.03,0.33,0.58,0.09,0.71,0.19,0.04,0.07,0.2572413793103448,6
6,201507,0.01,1.81,0.18,0.06,0.08,0.12,0.02,0.64,0.43,0.56,0.18,0.38,0.37,1.12,0.5,0.08,0.17,1.36,0.36,0.51,0.07,0.66,0.24,0.01,1.32,1.66,0.13,0.06,0.46,0.19,0.3,0.94,0.75,0.01,0.03,1.2,0.72,0.06,0.01,0.13,0.05,0.14,0.02,0.06,0.46,0.99,1.03,0.02,0.08,0.01,0.01,0.18,0.76,1.04,0.93,0.29,0.02,0.03,0.4139655172413793,7
7,201508,0.02,0.23,0.02,0.07,0.01,0.06,0.01,0.86,0.05,0.02,0.02,0.47,0.02,0.07,0.0,0.01,0.15,0.05,0.01,0.02,0.03,0.02,0.25,0.03,0.12,0.24,0.04,0.01,0.1,0.01,0.06,0.12,0.06,0.02,0.06,0.1,0.05,0.02,0.04,0.0,0.01,0.0,0.1,0.06,0.03,0.18,0.15,0.01,0.06,0.01,0.01,0.04,0.15,0.0,0.09,0.0,0.01,0.03,0.0774137931034482,8
8,201509,0.04,0.39,0.07,0.27,0.04,0.1,0.04,1.05,0.11,0.16,0.23,0.62,0.1,0.04,0.18,0.01,0.72,0.31,1.0,0.28,0.27,0.13,0.93,0.01,0.62,0.29,0.04,0.28,0.19,0.96,0.15,0.27,0.4,0.02,0.03,0.33,0.91,0.08,0.01,0.05,0.04,0.1,0.01,0.02,0.71,0.24,0.48,0.05,0.62,0.01,0.04,0.4,0.76,0.12,0.18,0.53,0.06,0.14,0.2799999999999999,9
9,201510,0.08,2.4,1.89,0.64,1.8,0.07,0.07,2.04,2.07,1.16,0.11,1.1,0.17,1.44,0.58,0.58,0.26,1.08,0.6,1.22,0.06,1.72,0.3,0.42,0.91,1.43,0.43,0.21,1.64,0.38,1.83,1.73,0.76,0.3,0.52,0.9,0.63,0.02,0.22,0.14,0.1,0.18,0.28,0.1,0.88,1.81,0.86,0.21,0.18,0.39,0.08,0.62,0.92,2.45,2.34,0.29,0.18,0.49,0.7977586206896554,10
