,date,county 1 tmax,county 3 tmax,county 5 tmax,county 7 tmax,county 9 tmax,county 11 tmax,county 13 tmax,county 15 tmax,county 17 tmax,county 19 tmax,county 21 tmax,county 23 tmax,county 25 tmax,county 27 tmax,county 29 tmax,county 31 tmax,county 33 tmax,county 35 tmax,county 37 tmax,county 39 tmax,county 41 tmax,county 43 tmax,county 45 tmax,county 47 tmax,county 49 tmax,county 51 tmax,county 53 tmax,county 55 tmax,county 57 tmax,county 59 tmax,county 61 tmax,county 63 tmax,county 65 tmax,county 67 tmax,county 69 tmax,county 71 tmax,county 73 tmax,county 75 tmax,county 77 tmax,county 79 tmax,county 81 tmax,county 83 tmax,county 85 tmax,county 87 tmax,county 89 tmax,county 91 tmax,county 93 tmax,county 95 tmax,county 97 tmax,county 99 tmax,county 101 tmax,county 103 tmax,county 105 tmax,county 107 tmax,county 109 tmax,county 111 tmax,county 113 tmax,county 115 tmax,mean tmax,date_idx
0,201501,61.0,48.5,59.9,61.0,60.2,61.9,60.1,54.7,57.2,54.5,62.5,56.1,70.8,58.3,60.0,56.9,61.6,49.1,65.1,55.9,61.8,58.3,59.9,57.4,49.8,49.2,66.5,62.0,56.1,71.4,56.3,50.7,67.1,60.2,63.8,62.6,67.3,62.0,59.2,65.2,63.8,66.5,62.8,67.7,57.6,51.6,50.8,60.4,62.6,58.2,60.6,61.0,54.5,53.1,54.4,64.1,61.2,61.4,59.55862068965517,1
1,201502,65.4,50.9,63.7,65.3,64.8,67.3,66.1,55.9,59.4,61.8,65.9,58.9,80.4,66.6,68.8,68.9,63.2,52.8,70.0,62.6,65.0,62.0,62.7,66.9,52.7,53.1,68.0,66.2,59.1,74.0,59.6,54.1,75.0,67.1,66.0,71.9,72.4,65.9,67.6,68.5,65.6,67.9,65.9,67.7,60.6,54.5,52.8,67.2,65.7,66.3,67.8,63.5,57.6,60.8,57.4,66.4,67.3,66.3,64.10000000000001,2
2,201503,70.8,53.5,69.3,71.3,70.0,74.6,72.2,60.7,63.8,68.1,71.6,62.5,85.4,71.5,73.8,78.0,68.0,58.8,74.4,69.0,67.5,66.7,66.3,75.3,58.8,56.0,73.8,71.9,63.3,77.7,64.2,59.2,79.3,75.2,72.4,76.7,75.7,67.7,75.7,74.2,68.7,72.7,70.8,73.0,66.1,58.9,59.1,73.6,69.8,74.3,76.1,69.1,64.1,65.5,60.7,71.4,74.5,72.5,69.41034482758617,3
3,201504,69.6,52.2,68.4,72.2,69.3,76.2,71.6,60.9,63.1,67.5,73.3,63.4,86.7,72.8,74.3,78.7,68.4,59.1,72.6,68.4,64.6,66.6,66.0,75.6,59.2,55.7,71.2,71.8,62.5,74.7,63.9,59.0,80.0,76.2,70.7,77.9,74.3,65.1,76.3,72.4,66.0,70.0,68.6,68.6,67.4,58.1,59.7,74.0,68.4,74.8,78.1,70.8,64.9,65.1,59.6,68.6,76.8,73.3,69.0551724137931,4
4,201505,68.8,55.9,72.7,76.8,73.2,80.0,71.1,67.3,67.5,70.2,77.6,68.1,88.2,76.6,77.9,81.7,72.6,64.5,71.4,71.2,62.1,69.0,69.4,78.1,65.0,58.7,71.1,73.6,67.0,70.7,68.4,63.7,80.5,78.6,71.9,81.3,72.2,62.7,78.1,71.9,64.4,69.1,68.9,66.8,73.6,61.8,66.6,75.0,68.2,77.6,81.5,75.4,71.7,67.9,62.3,68.7,79.4,77.7,71.44655172413792,5
5,201506,81.9,71.9,90.0,92.3,90.0,94.5,85.2,80.8,83.8,86.6,93.4,80.7,105.0,94.2,93.4,96.5,88.2,82.1,86.3,88.0,72.3,87.1,83.4,92.6,82.2,76.1,85.0,87.3,82.9,80.9,84.3,81.1,98.1,93.9,86.8,98.9,87.5,69.7,92.8,87.2,72.6,79.8,81.9,76.8,90.1,79.0,82.6,88.7,79.8,91.7,95.8,92.2,87.9,84.5,79.6,80.4,93.7,93.2,86.29655172413793,6
6,201507,82.8,71.0,89.4,91.6,89.9,94.4,84.8,80.4,83.9,86.0,92.7,83.3,104.1,91.9,92.3,96.0,88.2,82.0,85.6,87.4,72.1,86.5,84.2,92.7,82.4,75.1,85.9,88.1,83.3,81.5,84.5,80.9,96.6,93.3,88.0,96.2,87.2,72.6,92.5,85.4,76.0,82.4,84.2,80.6,89.8,79.2,83.0,88.9,79.6,92.0,95.5,91.0,87.7,84.0,79.3,82.6,94.0,92.8,86.36724137931034,7
7,201508,83.7,75.2,90.3,91.0,90.9,93.7,85.6,77.2,85.9,87.5,91.5,81.0,108.7,96.6,95.5,96.3,88.2,83.7,90.9,89.0,74.6,88.7,83.8,93.0,84.1,79.8,88.2,89.4,84.7,86.6,85.8,82.6,101.8,93.2,89.6,101.3,92.7,75.1,92.4,88.8,78.1,85.3,86.1,83.9,89.4,80.8,82.6,89.5,81.6,91.8,94.8,90.3,86.2,86.5,82.3,87.6,93.9,92.3,87.95862068965519,8
8,201509,84.0,70.3,86.0,87.3,86.8,90.5,85.9,73.2,81.1,83.0,87.8,76.4,101.6,89.4,91.0,92.4,84.6,77.2,87.9,84.0,76.8,83.6,80.3,89.7,76.2,73.9,87.2,87.9,80.2,87.6,81.3,77.2,95.5,90.1,87.4,94.7,89.1,76.5,90.6,87.4,78.9,85.6,85.0,84.5,83.8,76.4,75.9,88.2,82.0,89.3,91.1,85.8,80.4,81.9,77.5,86.0,90.1,88.3,84.55689655172414,9
9,201510,78.7,60.6,78.0,79.8,78.3,83.4,80.5,68.9,72.7,74.1,81.1,72.8,91.9,75.8,80.4,82.7,78.6,67.9,81.0,74.9,74.4,74.6,76.4,82.8,68.7,61.5,81.2,81.4,71.6,83.6,73.0,67.6,85.6,84.2,80.1,82.3,81.8,72.7,84.2,81.3,74.6,80.8,78.6,78.3,75.7,67.1,68.8,82.7,79.2,82.3,84.5,78.8,73.3,71.2,67.9,80.6,84.0,81.1,77.25172413793103,10
