,year,county code,January,February,March,April,May,June,July,August,September,October,November,December
0,2015,001,41.5,46.0,47.4,46.4,49.5,56.8,60.5,59.7,58.3,55.9,41.6,39.2
0,2016,001,43.8,44.8,46.1,48.6,51.9,55.9,57.2,57.3,55.3,51.8,46.5,39.1
0,2017,001,39.4,43.9,45.6,46.7,50.9,55.8,59.2,60.2,58.9,51.1,46.7,39.5
0,2018,001,43.6,40.5,42.6,46.2,49.9,54.0,59.4,57.4,54.3,51.8,45.7,41.8
0,2019,001,43.2,39.0,43.1,48.8,49.1,56.2,57.8,60.0,56.8,49.5,45.0,43.4
0,2020,001,40.6,43.0,42.5,47.1,52.3,56.0,58.1,62.2,60.7,58.0,44.5,42.1
0,2021,001,41.2,42.0,41.0,45.9,50.3,56.1,59.8,59.6,57.4,50.9,48.1,40.4
0,2022,001,41.8,41.4,44.4,45.3,49.8,57.1,58.0,60.3,60.3,53.6,41.5,-99.9
0,2015,003,27.7,29.3,29.7,28.6,36.3,46.7,47.3,48.6,45.6,39.5,22.2,20.2
0,2016,003,22.9,26.2,27.8,31.0,34.8,45.7,49.0,48.9,42.4,36.3,29.4,22.6
0,2017,003,20.5,23.6,26.9,27.9,35.7,43.8,50.9,50.4,41.6,33.6,31.8,25.4
0,2018,003,28.0,18.7,22.3,29.2,37.1,43.5,52.7,49.2,44.0,34.0,28.6,22.6
0,2019,003,24.3,16.3,22.9,31.2,32.6,41.3,47.8,49.2,41.0,29.9,28.5,24.5
0,2020,003,24.1,22.8,22.8,30.1,36.1,41.1,48.7,51.6,46.6,38.5,26.4,23.1
0,2021,003,23.2,21.1,21.6,29.9,35.4,47.7,53.5,49.5,44.8,33.5,33.0,23.2
0,2022,003,22.3,20.5,27.4,28.5,33.3,43.2,51.5,51.8,46.8,37.2,21.7,-99.9
0,2015,005,40.4,43.4,44.9,42.8,46.7,58.5,59.2,58.9,57.2,52.4,36.1,32.5
0,2016,005,36.4,41.5,40.9,44.5,48.4,56.7,59.6,60.0,53.9,47.0,41.8,34.6
0,2017,005,33.5,37.5,41.3,41.7,49.0,56.9,63.1,63.1,55.1,48.3,42.6,38.6
0,2018,005,40.0,35.3,37.0,42.0,48.0,55.0,64.2,59.5,55.2,49.1,43.7,35.9
0,2019,005,38.1,30.7,37.6,45.2,44.5,56.0,59.3,60.6,52.8,46.0,43.3,37.1
0,2020,005,36.0,39.1,37.1,43.4,49.3,54.6,60.6,63.6,60.5,54.6,40.2,37.4
0,2021,005,36.2,36.7,36.0,43.2,49.6,58.0,64.5,62.0,57.7,45.5,44.6,35.3
0,2022,005,37.4,37.1,41.3,41.6,47.1,56.1,61.2,62.9,59.5,51.6,36.4,-99.9
0,2015,007,39.6,43.0,45.0,44.6,50.2,61.0,62.3,60.0,57.0,53.1,37.7,35.1
