,date,electric,plug-in hybrid electric,fuel cell,diesel,flex fuel,gasoline,gasoline hybrid,natural gas fuel,propane,total,date_idx
0,202112,522445,305315,10127,590216,1208970,25998618,1298275,8461,90,29942517,132
1,202111,505951,300973,9877,599395,1203600,25917181,1285769,8395,157,29836132,131
2,202110,490400,297256,9627,608574,1198231,25835745,1275167,8330,224,29729751,130
3,202109,476248,292462,9377,617753,1192861,25754308,1263823,8264,291,29623366,129
4,202108,462251,289169,9127,626932,1187492,25672872,1253083,8199,359,29516987,128
5,202107,450426,285479,8877,636111,1182122,25591435,1240935,8133,426,29410602,127
6,202106,436432,281369,8628,645291,1176753,25509999,1227658,8068,493,29304224,126
7,202105,421138,277002,8378,654470,1171383,25428562,1215871,8003,560,29197840,125
8,202104,411213,271544,8128,663649,1166014,25347126,1201126,7937,628,29091460,124
9,202103,400039,266664,7878,672828,1160644,25265689,1187474,7872,695,28985076,123
10,202102,386464,263448,7628,682007,1155275,25184253,1173513,7806,762,28878694,122
11,202101,377732,261075,7378,691186,1149905,25102816,1163855,7741,829,28772310,121
12,202012,369364,259109,7129,700366,1144536,25021380,1155477,7676,897,28665934,120
13,202011,362056,257931,7112,698720,1143447,25063462,1149791,7741,906,28696250,119
14,202010,356381,257122,7096,697075,1142359,25105544,1145541,7807,916,28726573,118
15,202009,348731,256270,7080,695430,1141270,25147627,1141301,7872,926,28756894,117
16,202008,341555,255538,7063,693784,1140182,25189709,1137445,7938,936,28787216,116
17,202007,337140,254827,7047,692139,1139093,25231791,1133688,8003,946,28817535,115
18,202006,331248,254253,7031,690494,1138005,25273874,1129793,8069,956,28847859,114
19,202005,326956,253791,7014,688848,1136916,25315956,1126089,8134,965,28878177,113
20,202004,324754,253362,6998,687203,1135828,25358038,1123619,8200,975,28908500,112
21,202003,322697,253141,6982,685558,1134739,25400121,1122349,8265,985,28938821,111
22,202002,318041,252759,6965,683912,1133651,25442203,1120248,8331,995,28969141,110
23,202001,315194,252088,6949,682267,1132562,25484285,1117371,8396,1005,28999462,109
24,201912,308447,251522,6933,680622,1131474,25526368,1114944,8462,1015,29029787,108
25,201911,302359,248374,6815,678724,1130710,25513928,1110048,8499,1019,29000759,107
26,201910,298637,245202,6698,676827,1129947,25501488,1105528,8536,1023,28971734,106
27,201909,291118,242582,6581,674930,1129183,25489049,1101077,8574,1027,28942711,105
28,201908,284009,240197,6463,673033,1128420,25476609,1096984,8611,1031,28913685,104
29,201907,277861,236738,6346,671136,1127656,25464170,1091111,8648,1035,28884660,103
30,201906,270183,233786,6229,669239,1126893,25451730,1086128,8686,1039,28855639,102
31,201905,262550,230505,6111,667342,1126129,25439290,1080746,8723,1043,28826612,101
32,201904,256680,227245,5994,665445,1125366,25426851,1074690,8760,1047,28797588,100
33,201903,250125,224822,5877,663548,1124602,25414411,1070154,8798,1051,28768564,99
34,201902,244493,221510,5759,661651,1123839,25401972,1065913,8835,1055,28739539,98
35,201901,241024,218799,5642,659754,1123075,25389532,1062796,8872,1059,28710513,97
36,201812,232239,216328,5525,657857,1122312,25377093,1060166,8910,1063,28681493,96
37,201811,222300,210418,5337,656392,1121193,25371790,1056552,8935,1063,28659534,95
38,201810,213862,205439,5149,654927,1120074,25366488,1053217,8960,1064,28637580,94
39,201809,203376,201166,4961,653463,1118955,25361186,1049741,8985,1065,28615625,93
40,201808,194912,196532,4773,651998,1117836,25355884,1045856,9010,1066,28593671,92
41,201807,187829,192176,4585,650533,1116717,25350582,1042190,9035,1067,28571714,91
42,201806,182439,188191,4398,649069,1115599,25345280,1038764,9061,1068,28549764,90
43,201805,177887,183683,4210,647604,1114480,25339978,1034994,9086,1069,28527809,89
44,201804,173603,178780,4022,646139,1113361,25334676,1031155,9111,1070,28505854,88
45,201803,169122,174510,3834,644675,1112242,25329374,1028139,9136,1071,28483899,87
46,201802,165248,169522,3646,643210,1111123,25324072,1024718,9161,1072,28461944,86
47,201801,162918,165746,3458,641745,1110004,25318770,1021729,9186,1073,28439989,85
48,201712,159705,163057,3271,640281,1108886,25313468,1019085,9212,1074,28418039,84
49,201711,153387,157590,3069,635996,1095541,25092508,1005324,9154,1065,28158256,83
50,201710,149825,153123,2868,631712,1082196,24871549,992466,9096,1056,27898477,82
