,date,demand,emissions
0,20221127T23Z,23637,84405
1,20221127T22Z,23599,87295
2,20221127T21Z,23323,88500
3,20221127T20Z,23718,88878
4,20221127T19Z,25038,90162
5,20221127T18Z,25331,90574
6,20221127T17Z,25362,84223
7,20221127T16Z,25404,61137
8,20221127T15Z,24703,38397
9,20221127T14Z,23990,33690
10,20221127T13Z,23568,35597
11,20221127T12Z,23512,33946
12,20221127T11Z,23950,35662
13,20221127T10Z,24615,42847
24,20221126T23Z,23082,85652
25,20221126T22Z,22876,88856
26,20221126T21Z,23264,89979
27,20221126T20Z,24271,90131
28,20221126T19Z,25283,87433
29,20221126T18Z,26096,86147
30,20221126T17Z,26171,74367
31,20221126T16Z,25478,51532
32,20221126T15Z,24525,22657
33,20221126T14Z,23743,20387
34,20221126T13Z,23687,20150
35,20221126T12Z,23651,24260
36,20221126T11Z,24117,32611
37,20221126T10Z,24786,39434
48,20221125T23Z,24587,85413
49,20221125T22Z,24160,86657
50,20221125T21Z,24306,86404
51,20221125T20Z,24752,87166
52,20221125T19Z,25562,91436
53,20221125T18Z,26048,96552
54,20221125T17Z,26263,85892
55,20221125T16Z,25904,63210
56,20221125T15Z,25068,47630
57,20221125T14Z,24070,38927
58,20221125T13Z,23660,38164
59,20221125T12Z,23847,39575
60,20221125T11Z,23967,40895
61,20221125T10Z,24158,39230
72,20221124T23Z,23995,86632
73,20221124T22Z,23689,85568
74,20221124T21Z,23884,84042
75,20221124T20Z,24408,85083
76,20221124T19Z,25370,85994
77,20221124T18Z,25570,85872
78,20221124T17Z,25923,72820
79,20221124T16Z,25971,52789
80,20221124T15Z,25180,33073
81,20221124T14Z,24519,29286
82,20221124T13Z,24383,26562
83,20221124T12Z,24620,29091
84,20221124T11Z,25071,32446
85,20221124T10Z,25940,37058
96,20221123T23Z,27107,98619
97,20221123T22Z,26854,99837
98,20221123T21Z,27299,99631
99,20221123T20Z,28139,98906
100,20221123T19Z,29128,100371
101,20221123T18Z,29954,99467
102,20221123T17Z,30188,89607
103,20221123T16Z,29987,69164
104,20221123T15Z,28025,50704
105,20221123T14Z,26322,51362
106,20221123T13Z,25643,55967
107,20221123T12Z,25620,56709
108,20221123T11Z,26081,55751
109,20221123T10Z,26956,59599
120,20221122T23Z,27156,104342
121,20221122T22Z,26972,108677
122,20221122T21Z,27220,106713
123,20221122T20Z,27545,106893
124,20221122T19Z,29278,107763
125,20221122T18Z,30845,108443
126,20221122T17Z,30949,99271
127,20221122T16Z,30673,74949
128,20221122T15Z,28797,55127
129,20221122T14Z,27126,49102
130,20221122T13Z,26516,50474
131,20221122T12Z,26365,54522
132,20221122T11Z,26620,55960
133,20221122T10Z,27179,64007
144,20221121T23Z,28461,104683
145,20221121T22Z,28284,110161
146,20221121T21Z,28068,111925
147,20221121T20Z,28303,112412
148,20221121T19Z,29343,116699
149,20221121T18Z,30457,115584
150,20221121T17Z,30513,104406
151,20221121T16Z,30052,88039
152,20221121T15Z,28189,74607
153,20221121T14Z,26459,62609
154,20221121T13Z,25511,58793
155,20221121T12Z,25196,59648
156,20221121T11Z,25322,56577
157,20221121T10Z,25838,60737
168,20221120T23Z,24218,102944
169,20221120T22Z,24162,108499
170,20221120T21Z,24342,110676
171,20221120T20Z,24805,110331
172,20221120T19Z,25592,109232
173,20221120T18Z,26407,105994
174,20221120T17Z,26720,93355
