,date,demand,emissions
0,20221127T23Z,23637,84405
1,20221127T22Z,23599,87295
2,20221127T21Z,23323,88500
3,20221127T20Z,23718,88878
4,20221127T19Z,25038,90162
5,20221127T18Z,25331,90574
6,20221127T17Z,25362,84223
7,20221127T16Z,25404,61137
8,20221127T15Z,24703,38397
9,20221127T14Z,23990,33690
10,20221127T13Z,23568,35597
11,20221127T12Z,23512,33946
12,20221127T11Z,23950,35662
13,20221127T10Z,24615,42847
14,20221127T09Z,25550,48940
15,20221127T08Z,26799,69352
16,20221127T07Z,28003,78496
17,20221127T06Z,28612,78541
18,20221127T05Z,28997,77335
19,20221127T04Z,29363,78317
20,20221127T03Z,29454,76578
21,20221127T02Z,27572,77290
22,20221127T01Z,25298,78358
24,20221126T23Z,23082,85652
25,20221126T22Z,22876,88856
26,20221126T21Z,23264,89979
27,20221126T20Z,24271,90131
28,20221126T19Z,25283,87433
29,20221126T18Z,26096,86147
30,20221126T17Z,26171,74367
31,20221126T16Z,25478,51532
32,20221126T15Z,24525,22657
33,20221126T14Z,23743,20387
34,20221126T13Z,23687,20150
35,20221126T12Z,23651,24260
36,20221126T11Z,24117,32611
37,20221126T10Z,24786,39434
38,20221126T09Z,25659,48695
39,20221126T08Z,26594,71297
40,20221126T07Z,27676,79211
41,20221126T06Z,28341,79777
42,20221126T05Z,28925,77041
43,20221126T04Z,29468,78731
44,20221126T03Z,30101,78195
45,20221126T02Z,28522,79044
46,20221126T01Z,26380,81860
48,20221125T23Z,24587,85413
49,20221125T22Z,24160,86657
50,20221125T21Z,24306,86404
51,20221125T20Z,24752,87166
52,20221125T19Z,25562,91436
53,20221125T18Z,26048,96552
54,20221125T17Z,26263,85892
55,20221125T16Z,25904,63210
56,20221125T15Z,25068,47630
57,20221125T14Z,24070,38927
58,20221125T13Z,23660,38164
59,20221125T12Z,23847,39575
60,20221125T11Z,23967,40895
61,20221125T10Z,24158,39230
62,20221125T09Z,24754,46872
63,20221125T08Z,25623,69390
64,20221125T07Z,26182,81503
65,20221125T06Z,26404,82388
66,20221125T05Z,26654,82066
67,20221125T04Z,27131,82645
68,20221125T03Z,27937,84690
69,20221125T02Z,27053,84233
70,20221125T01Z,25571,82796
72,20221124T23Z,23995,86632
73,20221124T22Z,23689,85568
74,20221124T21Z,23884,84042
75,20221124T20Z,24408,85083
76,20221124T19Z,25370,85994
77,20221124T18Z,25570,85872
78,20221124T17Z,25923,72820
79,20221124T16Z,25971,52789
80,20221124T15Z,25180,33073
81,20221124T14Z,24519,29286
82,20221124T13Z,24383,26562
83,20221124T12Z,24620,29091
84,20221124T11Z,25071,32446
85,20221124T10Z,25940,37058
86,20221124T09Z,27020,44662
87,20221124T08Z,28435,69624
88,20221124T07Z,29636,84658
89,20221124T06Z,30648,83430
90,20221124T05Z,31437,84394
91,20221124T04Z,32074,86157
92,20221124T03Z,32403,87733
93,20221124T02Z,30981,87872
94,20221124T01Z,28906,89917
96,20221123T23Z,27107,98619
97,20221123T22Z,26854,99837
98,20221123T21Z,27299,99631
99,20221123T20Z,28139,98906
100,20221123T19Z,29128,100371
101,20221123T18Z,29954,99467
102,20221123T17Z,30188,89607
103,20221123T16Z,29987,69164
104,20221123T15Z,28025,50704
105,20221123T14Z,26322,51362
106,20221123T13Z,25643,55967
107,20221123T12Z,25620,56709
108,20221123T11Z,26081,55751
