date,electric,plug-in hybrid electric,gasoline hybrid,total LDV,
201101,103,321,19540,819938,

201102,83,281,23306,993535,

201103,298,608,34533,1246668,

201104,573,493,25602,1157928,

201105,1150,481,17419,1061841,

201106,1708,561,12655,1053414,

201107,932,125,19621,1059730,

201108,1363,302,21181,1072379,

201109,1031,723,17625,1053761,

201110,866,1108,20057,1021185,

201111,773,1139,26110,994786,

201112,1212,1529,31100,1243784,

201201,824,603,21779,913284,

201202,639,1023,36222,1149432,

201203,961,3200,48206,1404623,

201204,479,3116,39901,1184567,

201205,612,2766,37184,1334642,

201206,863,2455,34558,1285499,

201207,479,2537,31611,1153759,

201208,866,3878,38369,1285292,

201209,1306,4503,34836,1188899,

201210,2240,4994,33290,1092294,

201211,2614,4544,35002,1143916,

201212,2704,4965,43690,1356070,

201301,2372,2354,34611,1043238,

201302,2666,2789,40173,1192299,

201303,4553,3079,46327,1453038,

201304,4403,2735,42804,1285446,

201305,4545,3209,48796,1443311,

201306,4573,4169,44924,1403121,

201307,3943,3499,45494,1313844,

201308,4956,6407,53020,1501294,

201309,3650,4477,33576,1137206,

201310,3733,6367,33570,1206182,

201311,3930,4903,36085,1243852,

201312,4770,5020,36155,1358734,

201401,2971,2934,27555,1011187,

201402,3324,3721,30561,1192467,

201403,4578,4594,43790,1537270,

201404,4187,4718,39430,1391303,

201405,5802,6651,52227,1609678,

201406,4982,6511,39225,1421963,

201407,5693,5740,44488,1435805,









201408,6483,5920,48208,1586374,

201409,5983,3357,31385,1245786,

201410,5927,3735,30892,1281132,

201411,6176,3609,31109,1302655,

201412,7419,3867,33302,1507928,

201501,3977,2113,25312,1152480,

201502,4435,2589,27038,1258570,

201503,5715,3020,33654,1545710,

201504,6037,2962,32379,1455242,

201505,7057,4416,40257,1634952,

201506,6975,3409,32330,1476472,

201507,5143,3836,35666,1510941,

201508,5224,3786,37633,1577179,

201509,6704,3038,32106,1442113,

201510,5740,4081,30485,1455153,

201511,6103,4275,25153,1318210,

201512,7954,5483,32387,1641913,

201601,3576,3137,20967,1148087,

201602,4424,3909,24371,1343922,

201603,7115,5319,28756,1595065,

201604,6266,5842,28988,1506431,

201605,6526,5619,30573,1535670,

201606,7678,6113,27681,1512996,

201607,7762,6525,32633,1521245,

201608,8601,6372,32206,1511405,

201609,10032,6037,31286,1434483,

201610,5408,5943,26484,1370721,

201611,6266,7858,28497,1378635,

201612,13077,10211,34507,1688368,

201701,5398,5669,22630,1142568,

201702,5846,6247,28355,1333128,

201703,10171,7384,32012,1554998,

201704,5961,7300,30949,1426883,

201705,8038,8645,33729,1519793,

201706,8814,7787,30073,1474970,

201707,7802,7407,29050,1416743,

201708,8850,7668,34850,1484826,

201709,13421,7719,37319,1525522,

201710,6792,6665,29451,1356789,

201711,8435,8408,30075,1399640,

201712,14959,10289,32187,1605527,

201801,9154,6241,21718,1151011,

201802,6653,8783,24609,1293763,

201803,11060,11601,28165,1647090,

201804,12794,9931,24827,1353546,

201805,12232,11403,31602,1586493,

201806,12997,10485,31038,1543716,

201807,15387,9269,28203,1362964,

201808,20222,10132,30182,1482215,

201809,24163,10777,31985,1432136,

201810,29937,9937,28614,1360281,

201811,24089,11580,27453,1382553,

201812,28374,13744,29753,1617778,

201901,26942,6010,19153,1133157,

201902,10644,6610,22730,1251513,

201903,17281,8074,30926,1598811,

201904,20113,5908,33082,1326555,

201905,18012,7949,44162,1581479,

201906,23421,7999,39247,1509674,

201907,23559,7197,36341,1396460,

201908,18864,8433,42830,1638722,

201909,21812,5816,29848,1267150,

201910,23072,6388,32457,1333995,

201911,11421,7733,32962,1403153,

201912,18681,7674,35706,1512243,

202001,26391,5104,27166,1136560,

202002,11151,6111,32309,1350570,

202003,18234,3481,23591,989954,

202004,8058,2015,14268,715322,

202005,8626,3911,27740,1119089,

202006,16809,4206,41590,1101169,

202007,23075,5228,43738,1236643,

202008,17291,6478,42191,1318070,

202009,28101,6670,43293,1341099,

202010,29959,7755,47611,1358922,

202011,22225,7369,47724,1199137,

202012,28620,10721,63846,1605497,

202101,25103,7463,46843,1106286,

202102,26215,9046,54045,1193776,

202103,40755,12261,78123,1597152,

202104,33547,18604,76397,1518415,

202105,29796,20807,82511,1570313,

202106,45913,16648,65960,1302213,

202107,42013,15669,74298,1280803,

202108,35499,14067,67976,1092661,

202109,42020,12554,60102,1015935,

202110,42485,18275,63482,1051015,

202111,46687,14170,59326,1014411,

202112,49517,16553,69983,1203993,

202201,42904,11474,63101,989560,

202202,46883,14580,58182,1045624,

202203,60473,16534,76692,1254058,

202204,61318,17034,71842,1241978,

202205,57374,17267,68745,1112718,

202206,59151,14644,61039,1128579,

202207,64161,13524,59229,1121858,

202208,60126,13971,58869,1134257,

202209,70056,13562,55891,1124206,

202210,64262,16921,66419,1169438,

202211,65338,14597,62289,1120067,

